"","LC_Step2","TH_Step2","TD_Step2","LC_Step3","TH_Step3","TD_Step3","LC_Step4","TH_Step4","TD_Step4"
"18C-01011-H1xET47",206,820,18,236,960,18,252,1170,26
"18C-01012-H1xET47",260,660,15,280,760,18,430,880,23
"18C-01013-H1xET47",212,1140,18,332,1230,23,432,1170,31
"18C-01021-H1xET47",176,680,14,232,890,19,216,1060,25
"18C-01022-H1xET47",270,886,17,294,1000,23,390,560,27
"18C-01025-H1xET47",128,570,10,260,660,18,218,890,21
"18C-01026-H1xET47",188,1150,16,278,1260,25,316,1440,30
"18C-01030-H1xET47",160,830,13,218,950,18,210,990,27
"18C-01034-H1xET47",240,1030,15,506,1140,21,544,1320,27
"18C-01037-H1xET47",198,1060,14,176,1150,20.5,342,1420,31
"18C-01042-H1xET47",338,1130,16,432,1200,21,254,1260,31
"18C-01043-H1xET47",220,773,10,208,820,14.5,204,850,22
"18C-01044-H1xET47",272,1040,15,280,1100,19,660,1250,24
"18C-01049-H1xET47",144,930,13,210,1165,17.5,272,1400,24
"18C-01052-H1xET47",244,900,15,298,1140,20,484,1250,27
"18C-01055-H1xET47",104,540,10,124,630,15,244,820,24
"18C-01060-H1xET47",306,700,15,276,940,17,308,1100,21
"18C-01061-H1xET47",232,940,14,318,1080,20,424,1280,25
"18C-01062-H1xET47",112,760,12,196,780,15,314,910,21
"18C-01063-H1xET47",150,1040,12,262,1200,20,380,1630,23
"18C-01064-H1xET47",144,970,13,324,1120,17,252,1270,24
"18C-01067-H1xET47",202,710,14,302,830,19,350,970,21
"18C-01068-H1xET47",228,1100,14,396,1260,21,272,1410,29
"18C-01069-H1xET47",270,1000,16,244,1150,21,498,1290,22
"18C-01070-H1xET47",190,1050,17,312,1200,19,496,1470,24
"18C-01071-H1xET47",276,1015,16,282,1100,17,208,1300,27
"18C-01072-H1xET47",218,770,14,282,840,19,450,970,21
"18C-01073-H1xET47",226,640,13,244,700,15,174,800,23
"18C-01074-H1xET47",178,670,12,268,860,15,300,920,20
"18C-01076-H1xET47",214,1100,16,248,1370,21,342,1500,26
"18C-01079-H1xET47",232,760,16,366,880,18,200,980,20
"18C-01080-H1xET47",130,660,11,114,790,19,156,980,20
"18C-01081-H1xET47",232,1120,16,420,1350,20,420,1570,25
"18C-01083-H1xET47",184,910,13,244,1050,19,198,1310,23
"18C-01084-H1xET47",186,980,14,304,1160,21,362,1370,27
"18C-01089-H1xET47",150,635,11,216,740,15,290,890,22
"18C-01090-H1xET47",240,1130,18,284,1160,21,382,1330,25
"18C-01091-H1xET47",298,800,12,332,930,21,370,1000,23
"18C-01092-H1xET47",186,1020,16,308,1380,20,462,1610,25
"18C-01093-H1xET47",184,710,14,222,800,15,454,980,23
"18C-01096-H1xET47",208,1180,18,272,1340,19,654,1430,25
"18C-01097-H1xET47",286,1070,16,272,1180,18,470,1410,23
"18C-01098-H1xET47",146,765,10,72,790,12,182,890,23
"18C-01099-H1xET47",264,620,12,162,790,14,308,910,21
"18C-01100-H1xET47",150,720,18,174,910,17,160,1040,25
"18C-01102-H1xET47",200,550,11,196,700,17,220,770,21
"18C-01103-H1xET47",290,630,16,264,660,21,452,830,27
"18C-01104-H1xET47",258,730,13,244,850,21,324,980,23
"18C-01105-H1xET47",184,790,15,162,990,17,212,1130,21
"18C-01110-H1xET47",234,760,17,256,880,18,220,1030,19
"18C-01111-H1xET47",294,660,11,132,660,11,112,650,18
"18C-01113-H1xET47",186,680,13,162,820,15.5,166,870,20
"18C-01116-H1xET47",268,663,12,332,830,18,262,970,23
"18C-01117-H1xET47",208,1030,15,248,1240,20,436,1460,27
"18C-01118-H1xET47",156,650,13,168,800,12,186,915,22
"18C-01120-H1xET47",260,876,13,68,1100,18,478,1310,23
"18C-01121-H1xET47",168,600,14,218,710,17,112,760,19
"18C-01122-H1xET47",160,860,13,244,900,16,370,1000,23
"18C-01124-H1xET47",192,600,13,264,700,17,288,1330,24
"18C-01125-H1xET47",250,700,13,272,800,18,442,930,25
"18C-01126-H1xET47",100,850,12,122,1100,10,168,1310,18
"18C-01129-H1xET47",172,595,10,144,670,13,220,810,16
"18C-01132-H1xET47",186,910,16,216,1030,19,404,1310,25
"18C-01133-H1xET47",234,970,15,196,1160,22,288,1380,25
"18C-01134-H1xET47",300,740,14,300,840,18,496,1120,25
"18C-01135-H1xET47",254,730,11,234,920,17,188,1180,21
"18C-01136-H1xET47",136,1010,13,144,1160,18,288,1260,28
"18C-01137-H1xET47",110,923,11,86,1000,20,146,1150,22
"18C-01141-H1xET47",184,716,13,276,840,18,336,990,22
"18C-01142-H1xET47",202,730,13,132,800,15,316,930,19
"18C-01143-H1xET47",124,910,15,236,1190,19,194,1460,23
"18C-01144-H1xET47",232,845,12,292,1030,19,382,1400,27
"18C-01145-H1xET47",104,770,10.5,108,790,9,122,820,13
"18C-01146-H1xET47",178,630,13,142,750,12,256,860,17
