"","IBR_S2","PI_TOTAL_S2","phi_Ro_S2","phi_Eo__S2","psi_Eo_S2","phi_Po__S2","phi_Po_1_phi_Po_S2","dRo_1_dRo_S2","psi_Eo_1_psi_Eo_S2","RC_ABS_S2","REo_RC_S2","DIo_RC_S2","ETo_RC_S2","TRo_RC_S2","ABS_RC_S2","Fo_S2","Fm_S2","Fv_Fm_S2","IBR_S3","PI_TOTAL_S3","phi_Ro_S3","phi_Eo_S3","psi_Eo_S3","phi_Po_S3","phi_Po_1_phi_Po_S3","dRo_1_dRo_S3","psi_Eo_1_psi_Eo_S3","RC_ABS_S3","REo_RC_S3","DIo_RC_S3","ETo_RC_S3","TRo_RC_S3","ABS_RC_S3","Fo_S3","Fm_S3","Fv_Fm_S3","IBR_S4","PI_TOTAL_S4","phi_Ro_S4","phi_Eo_S4","psi_Eo_S4","phi_Po_S4","phi_Po_1_phi_Po_S4","dRo_1_dRo_S4","psi_Eo_1_psi_Eo_S4","RC_ABS_S4","REo_RC_S4","DIo_RC_S4","ETo_RC_S4","TRo_RC_S4","ABS_RC_S4","Fo_S4","Fm_S4","Fv_Fm_S4"
"18C-00820-H1XG",787.5011796706,5.57204,0.20352,0.46194,0.58074,0.79484,3.8846,0.7909,1.49792,0.9734983729,0.2062,0.21406,0.47592,0.82632,1.04038,232.6,1125.2,0.7946,704.4165526613,2.49498,0.15818,0.3707,0.4806,0.76456,3.3806,0.75278,0.986,0.75471,0.2092,0.34618,0.49568,1.06784,1.414,530.4,2306.6,0.7648,980.5472229248,6.41088,0.2362,0.50558,0.62896,0.80392,4.1258,0.89894,1.74938,1.0228259699,0.2332,0.19454,0.501,0.79248,0.98704,569.8,2921.2,0.804
"18C-00821-H1XG",695.903800749,4.19546,0.16796,0.45254,0.57464,0.7845,3.7184,0.59008,1.49566,1.0743578898,0.1624,0.22744,0.4409,0.79188,1.0193,223.8,1023.4,0.7846,867.6320645255,0.962075,0.126125,0.342525,0.461725,0.742475,2.93275,0.58995,0.85945,0.64181,0.1965,0.402375,0.5336,1.156675,1.559075,559,2190.75,0.7425,809.9178058166,4.33674,0.1982,0.48804,0.6065,0.80478,4.1362,0.7048,1.60554,0.9646082919,0.2074,0.2055,0.51654,0.84404,1.04952,577.4,2963.2,0.8048
"18C-00822-H1XG",767.9274613047,3.56746,0.19054,0.45032,0.60484,0.74416,3.0082,0.74544,1.65128,0.9211484324,0.2154,0.29866,0.50044,0.82858,1.12726,198.4,791.6,0.7444,672.0361242722,3.65856,0.19142,0.46116,0.59836,0.77124,3.3938,0.70548,1.56018,0.89017,0.2166,0.26722,0.52786,0.89982,1.16702,465.8,2043.6,0.7714,642.765873187,2.11926,0.15496,0.42992,0.5615,0.76736,3.4022,0.58328,1.31244,0.8118896011,0.199,0.31798,0.57286,1.0015,1.31946,599,2619.6,0.7674
"18C-00823-H1XG",863.5986599321,5.18792,0.18518,0.50134,0.62622,0.80114,4.1238,0.58774,1.72178,1.2057144177,0.1538,0.16754,0.41992,0.67286,0.84042,189.8,994.2,0.8014,641.6651217921,2.43466,0.16744,0.40608,0.5214,0.77848,3.5406,0.70662,1.09688,0.83661,0.1994,0.27016,0.48892,0.94012,1.2103,497,2258.2,0.7786,711.7437573784,1.408,0.13834,0.39482,0.50962,0.77508,3.4612,0.56776,1.06338,0.6896762933,0.2036,0.33882,0.59394,1.15606,1.49488,675,2997.2,0.775
"18C-00825-H1XG",603.8359644671,3.19468,0.14526,0.34086,0.53144,0.57718,2.6034,1.95792,1.31104,0.7235366316,0.2714,3.15296,0.49024,0.99182,4.14482,720,1635.2,0.577,652.6447827968,2.42234,0.16774,0.40822,0.52154,0.78222,3.633,0.69898,1.10172,0.83415,0.2024,0.2693,0.49574,0.96224,1.23154,495.6,2294.6,0.7822,762.611022649,4.28724,0.19306,0.46372,0.58122,0.79648,3.9898,0.72552,1.42428,0.9035059939,0.2166,0.25662,0.54652,0.95194,1.20856,588,2908,0.7966
"18C-00826-H1XG",649.5689210732,3.09374,0.1552,0.44946,0.57936,0.77274,3.4444,0.53344,1.49812,0.9197083849,0.1742,0.27506,0.5086,0.90698,1.18202,254.8,1102.4,0.7728,729.2981139745,1.94228,0.15858,0.3771,0.49558,0.75818,3.2088,0.72364,1.00736,0.70629,0.2284,0.3908,0.55996,1.15266,1.54342,552.8,2293.6,0.7584,638.2973831064,3.42834,0.17746,0.44336,0.57388,0.7706,3.3876,0.67952,1.46606,0.8022829064,0.2174,0.31554,0.57478,1.0281,1.34364,606.2,2648.6,0.7706
"18C-00827-H1XG",700.1070932584,3.90426,0.16904,0.43358,0.5764,0.74304,3.0814,0.63624,1.63946,0.8398194693,0.21,0.40238,0.54294,1.00004,1.40242,269.2,986,0.743,811.7271126498,1.43076,0.13352,0.36512,0.48802,0.74678,2.9672,0.57228,1.00292,0.71026,0.1868,0.37276,0.51904,1.08392,1.45666,591,2329.6,0.7468,653.9707494808,2.90056,0.17118,0.39824,0.5146,0.77126,3.4576,0.77972,1.10772,0.8081207354,0.2132,0.3148,0.51248,1.01424,1.32906,660,2923.2,0.7712
"18C-00828-H1XG",684.9796362478,4.16842,0.18536,0.47218,0.6088,0.7761,3.5058,0.6519,1.59366,1.0662008645,0.174,0.2155,0.44848,0.73638,0.9519,215.8,983.8,0.776,753.3594321979,4.85612,0.20852,0.4756,0.60504,0.78566,3.7132,0.78198,1.54566,1.03201,0.2022,0.21068,0.4636,0.76948,0.98018,476.4,2248,0.7856,889.5075932422,5.65042,0.21118,0.48896,0.60436,0.80938,4.2576,0.79356,1.58088,1.1039917166,0.194,0.17758,0.45624,0.74778,0.92536,566.2,2977.6,0.8094
"18C-00829-H1XG",788.4765270697,2.83216,0.1407,0.37802,0.51188,0.71792,2.842,0.5738,1.2627,0.8101946562,0.1726,0.51618,0.48328,1.05222,1.5684,226.6,787.6,0.7182,670.3245778776,1.77828,0.15848,0.42146,0.53948,0.77992,3.5642,0.608,1.19844,0.68347,0.2324,0.32296,0.61722,1.14426,1.46722,493,2244.2,0.7798,739.3154200051,2.67224,0.1755,0.45964,0.5745,0.80006,4.0082,0.6412,1.41752,0.7783714629,0.2288,0.26116,0.60714,1.04624,1.3074,613.4,3072.6,0.8
"18C-00831-H1XG",715.7828528572,5.67792,0.17494,0.43346,0.56956,0.74862,3.332,0.65408,1.71406,0.9050004188,0.1872,0.36864,0.48802,0.93008,1.29874,221.8,933.8,0.7486,793.7529012164,1.55524,0.12708,0.35714,0.4686,0.75218,3.181,0.5342,0.96984,0.63115,0.1976,0.44406,0.5694,1.26918,1.71324,582.4,2374.4,0.7524,619.1167450962,2.985,0.16916,0.41172,0.53072,0.7725,3.4638,0.7318,1.21512,0.8013151146,0.2114,0.3198,0.53898,1.03758,1.35736,608,2696.8,0.7724
