"","LC_Step2","TH_Step2","TD_Step2","LC_Step3","TH_Step3","TD_Step3","LC_Step4","TH_Step4","TD_Step4"
"18C-00820-H1XG",292,597,12,390,710,18,246,850,25
"18C-00821-H1XG",340,740,12,354,832,19,234,960,22
"18C-00822-H1XG",290,1100,16,414,1200,22,288,1330,24
"18C-00823-H1XG",242,690,16,390,770,17.5,182,960,21
"18C-00825-H1XG",304,740,12,550,830,21,356,900,20
"18C-00826-H1XG",220,1000,15,472,1120,19,354,1220,25
"18C-00827-H1XG",236,537,10,242,580,15,230,760,19
"18C-00828-H1XG",346,684,12,544,845,17,336,1000,22
"18C-00829-H1XG",64,1045,6,60,1045,11,48,400,14
"18C-00831-H1XG",250,734,12,440,840,20.5,288,1040,22
"18C-00832-H1XG",284,975,12,456,1125,20,196,1230,24
"18C-00833-H1XG",338,990,12,596,1110,18,294,1240,21
"18C-00834-H1XG",326,1106,15,548,1170,23,390,1280,27
"18C-00835-H1XG",206,750,11,210,850,17.5,96,1010,19
"18C-00836-H1XG",156,1010,14,202,1090,17,196,1240,23
"18C-00837-H1XG",138,570,10,202,650,17,154,830,22
"18C-00838-H1XG",266,950,13,396,1060,20,272,1210,24
"18C-00840-H1XG",190,900,13,288,1040,18,288,1300,26
"18C-00841-H1XG",256,663,10,328,790,17,238,1020,20
"18C-00842-H1XG",182,600,10,414,682,14,172,780,17
"18C-00843-H1XG",258,1048,15,404,1213,20,496,1400,31
"18C-00844-H1XG",276,1026,14,304,1220,18.5,334,1260,25
"18C-00846-H1XG",222,741,11,362,915,20,206,1100,23
"18C-00847-H1XG",266,983,14,554,1182,24,234,1380,30
"18C-00849-H1XG",332,962,13,456,1090,21,216,1270,29
"18C-00850-H1XG",202,740,12,384,796,16.5,176,880,30
"18C-00851-H1XG",288,1080,12,548,1200,20,298,1350,26
"18C-00852-H1XG",180,630,11,234,740,18,232,970,19
"18C-00853-H1XG",342,643,13,588,750,20,210,850,30
"18C-00854-H1XG",396,1190,13,452,1323,19,244,1530,25
"18C-00858-H1XG",278,1065,15,442,1185,21,372,1450,29
"18C-00859-H1XG",300,1020,15,336,1115,22.5,326,1350,33
"18C-00860-H1XG",274,665,14,272,700,20,236,780,23
"18C-00861-H1XG",524,740,14,466,800,19,384,1010,20
"18C-00862-H1XG",278,1080,14,498,1160,21.5,224,1340,26
"18C-00863-H1XG",374,1005,12,494,1140,24,284,1360,29
"18C-00864-H1XG",132,640,9,182,735,16.5,312,980,26
"18C-00865-H1XG",230,850,12,244,740,18,244,980,24
"18C-00866-H1XG",144,495,10,170,510,12,146,620,17
"18C-00867-H1XG",168,1030,17,370,1177,23,350,1340,18
"18C-00868-H1XG",342,990,16,306,1100,21,228,1180,28
"18C-00869-H1XG",140,480,9,248,540,13,132,770,19
"18C-00870-H1XG",168,510,8,214,620,14,130,770,17
"18C-00871-H1XG",274,980,15,330,1241,22.5,262,1500,27
"18C-00873-H1XG",176,685,10,286,770,18.5,136,840,25
"18C-00874-H1XG",304,1215,17,446,1260,23,282,1380,30
"18C-00875-H1XG",304,770,12,398,870,20,252,1010,22
"18C-00876-H1XG",338,1180,18,444,1250,21,356,1470,25
